"Lat","Long","Month","Day","Year","Chlorophyll a, total","Divinyl chlorophyll a","Chlorophyll b","Divinyl chlorophyll b","19-Hexanoyloxyfucoxanthin","19-Butanoyloxyfucoxanthin","Fucoxanthin","Peridinin","Alloxanthin","Zeaxanthin"
"9.562","-92.988","8","29","2000","0.50108","0.04121111442","0.05250847256","NaN","0.2505547535","0.05397274047","0.06766126884","0.01810490791","0","0.1514286809"
"9.266","-92.423","8","30","2000","0.35977","0.007215606154","0.05552265846","NaN","0.1632948923","0.03819175385","0.05467148308","0.01322739692","0","0.1016528985"
"8.980","-91.871","8","30","2000","0.42875","0.007050842791","0.01083413581","NaN","0.3430185377","0.01932957767","0.05247884651","0.007947147907","0","0.04947891349"
"8.835","-91.584","8","30","2000","0.16141","0.02281827342","0.02250631899","NaN","0.04509001519","0.007384708861","0.01033209114","0.01125703291","0","0.1553063089"
"8.300","-90.159","8","30","2000","0.68845","0.3991797991","0.05171455256","NaN","0.07674492279","0.01798834605","0.01917095442","0.01852632558","0","0.3155367516"
"8.739","-90.294","8","30","2000","0.42565","0.07697957062","0.03889588701","NaN","0.114692226","0.02404158192","0.02193871186","0.02223902825","0","0.2328728814"
"8.670","-90.565","8","31","2000","0.69955","0.2255976949","0.06974097175","NaN","0.1529890621","0.02782531073","0.03553871186","0.03371751412","0","0.3449896045"
"8.624","-90.583","8","31","2000","1.28474","0.567820678","0.1104764294","NaN","0.2399246102","0.04364510734","0.05867688136","0.06446522034","0","0.5220188023"
"8.519","-90.601","8","31","2000","1.48606","0.4624576949","0.1172332655","NaN","0.4261048136","0.08002259887","0.1083303955","0.07605116384","0","0.5700917966"
"8.411","-90.629","8","31","2000","2.28282","1.323391322","0.1367332881","NaN","0.3403056723","0.06199923164","0.08565188701","0.07556343503","0","0.8726301017"
"8.290","-90.660","8","31","2000","3.19460","2.278981243","0.1797370395","NaN","0.2786226893","0.06096230508","0.06756429379","0.07021884746","0","1.232883932"
"8.220","-90.656","8","31","2000","4.07049","3.056329944","0.2415624859","NaN","0.2396211073","0.06874870056","0.06363579661","0.05734327684","0","1.542186757"
"8.102","-90.681","8","31","2000","2.95603","2.214009356","0.1712622373","NaN","0.202575096","0.05084171751","0.05549152542","0.04051032768","0","0.9696450621"
"7.870","-90.727","8","31","2000","1.00948","0.2470264407","0.09090137853","NaN","0.2706931525","0.04091774011","0.07218042938","0.04965482486","0","0.4301583277"
"7.866","-90.727","9","1","2000","0.75707","0.09651292655","0.03697035028","NaN","0.4494259887","0.08286815819","0.08513441808","0.01988727684","0","0.06728465537"
"7.755","-90.754","9","1","2000","0.59279","0.1253093358","0.04470648558","NaN","0.2448261433","0.06304538791","0.0525915907","0.0175236614","0","0.06453792"
"7.638","-90.784","9","1","2000","0.48246","0.13715184","0.04040365395","NaN","0.1761625228","0.04661376","0.03627380093","0.02389502512","0","0.06415021395"
"7.522","-90.817","9","1","2000","0.60837","0.2108865042","0.04503065302","NaN","0.2253785302","0.06627264","0.03926777302","0.01442243721","0","0.06778388093"
"6.344","-91.076","9","1","2000","0.48657","0.3620331572","0.0266017786","NaN","0.06877147535","0.02265432558","0.007698373953","0.007663144186","0","0.07857164651"
"5.853","-91.178","9","1","2000","0.49113","0.4045056","0.02309782326","NaN","0.04740973395","0.01703941953","0.006292777674","0.002670050233","0","0.1006323795"
"5.264","-91.311","9","1","2000","0.43068","0.3573533247","0.0182887814","NaN","0.04145029953","0.01259234233","0.005380353488","0.001918749767","0","0.1045077656"
"4.686","-91.433","9","1","2000","0.51381","0.4351342884","0.0230292614","NaN","0.04167109953","0.01354530977","0.006003572093","0.004658589767","0","0.1309085247"
"4.048","-91.571","9","2","2000","0.66133","0.5153308912","0.04153707907","NaN","0.0850319107","0.02895764093","0.01279463442","0.004213328372","0","0.13495488"
"3.488","-91.688","9","2","2000","0.51810","0.3890264149","0.03656747163","NaN","0.07597676651","0.02686129116","0.01075063814","0.00407115907","0","0.1175252986"
"3.181","-91.741","9","2","2000","0.55525","0.4082250307","0.03717977302","NaN","0.07597676651","0.03152760558","0.01240192744","0.005212933953","0","0.116706173"
"1.566","-92.100","9","2","2000","0.50383","0.2973960893","0.04493574698","NaN","0.08501081302","0.03093106605","0.01387291535","0.02070755721","0","0.08653618605"
"1.037","-92.212","9","2","2000","0.45538","0.204819014","0.04716576","NaN","0.09118493023","0.0329807107","0.02214396279","0.02953250233","0","0.07948286512"
"0.296","-92.418","9","2","2000","0.51757","0.2642788019","0.04976164465","NaN","0.1104567963","0.02663162791","0.02536826791","0.04160702512","0","0.1392739423"
"-0.307","-92.504","9","3","2000","0.43718","0.143383613","0.06110638884","NaN","0.1238546456","0.03901669953","0.05470084465","0.0213054586","0","0.1040175405"
"-0.310","-92.450","9","3","2000","0.42701","0.1191228502","0.08158589023","NaN","0.07196287256","0.03272412279","0.04582249674","0.01715901767","0.02121445953","0.05820895256"
"-0.292","-92.323","9","3","2000","0.50366","0.1218720893","0.08145858977","NaN","0.09184773209","0.03553984744","0.0593377786","0.02586400744","0.02319297488","0.07419335442"
"-0.269","-92.183","9","3","2000","0.36191","0","0.1378303926","NaN","0.07014137302","0.03049888744","0.05720296186","0.01451075721","0.04069542698","0.04867974698"
"-0.247","-92.046","9","3","2000","0.42996","0","0.1711822884","NaN","0.06045256186","0.02806171535","0.04627903256","0.01301286698","0.03149849302","0.05973265116"
"-0.222","-91.883","9","3","2000","0.37602","0","0.1795832707","NaN","0.05408950326","0.02907366698","0.03389215256","0.00798836093","0.0249771014","0.06085373023"
"-0.204","-91.756","9","3","2000","0.27725","0","0.109533946","NaN","0.02684066233","0.01139698605","0.01792954047","0.005797149767","0.009986388837","0.02665547163"
"-0.187","-91.611","9","3","2000","0.30952","0","0.1387644056","NaN","0.01515699349","0.008083177674","0.02298385116","0.007613291163","0.0169399814","0.03770652279"
"-0.199","-91.472","9","3","2000","0.35242","0","0.1139146716","NaN","0.06273555349","0.01589317953","0.07168802233","0.007588465116","0.02839860837","0.03218384372"
"-0.288","-91.384","9","3","2000","0.65633","0","0.1141680453","NaN","0.06018815094","0.02251109434","0.3244944906","0.01514178113","0.09782748679","0.02534889057"
"-0.414","-91.324","9","3","2000","0.36554","0","0.1263610189","NaN","0.0429438566","0.01613798491","0.05382210566","0.008117592453","0.08437023396","0.02515123019"
"-0.578","-91.254","9","3","2000","0.79226","0","0.115335427","NaN","0.08247654698","0.03915156837","0.3868328707","0.02404447256","0.06208748651","0.01762522047"
"-0.677","-91.374","9","3","2000","0.29863","0","0.04357627925","NaN","0.03193501132","0.01568327547","0.1018362792","0.01009503396","0.0415205434","0.009489169811"
"-0.843","-91.529","9","4","2000","0.35185","0","0.07646219163","NaN","0.02944989767","0.01685496558","0.0818322307","0.00964663814","0.0343111814","0.01019430698"
"-0.956","-91.526","9","4","2000","0.56550","0","0.165759293","NaN","0.02967699349","0.01793900651","0.06725355907","0","0.04604635535","0.01659509581"
"-1.050","-91.402","9","4","2000","1.00384","0","0.3348633153","NaN","0.05223147907","0.04669705674","0.1468247219","0","0.08133890233","0.04393933395"
"-1.079","-91.261","9","4","2000","1.11352","0","0.3365381581","NaN","0.07328590884","0.04090506419","0.223114426","0.01472162233","0.05200168186","0.1112877098"
"-0.814","-90.400","9","5","2000","0.40968","0","0.06583083907","NaN","0.1107865674","0.04857810977","0.04983679256","0.02227168744","0.02108838698","0.06857044465"
"-0.752","-90.513","9","5","2000","0.71785","0","0.09709140837","NaN","0.1991072819","0.05942712558","0.06093776372","0.02554533209","0.08504994977","0.127090694"
"-0.683","-90.608","9","5","2000","0.44762","0","0.06272773953","NaN","0.1430458047","0.04975943442","0.05092949581","0.03338935814","0.0354738307","0.09670490791"
"-0.581","-90.606","9","5","2000","0.56721","0","0.08206234047","NaN","0.1965744893","0.05585657302","0.09589819535","0.03299160558","0.05385180279","0.1106473451"
"-0.492","-90.534","9","5","2000","0.39780","0","0.05930821953","NaN","0.15108864","0.05293509209","0.04861520372","0.03718794419","0.02898266791","0.07651664372"
"-0.409","-90.428","9","5","2000","0.68175","0","0.09553096186","NaN","0.2433195014","0.05565660279","0.1075551405","0.02441016558","0.07795738047","0.1186693284"
"-0.402","-90.317","9","6","2000","2.30659","0","0.1204354158","NaN","0.1757588986","0.0456634493","1.291757135","0.0154309507","0.05288836465","0.07094210233"
"-0.398","-90.214","9","6","2000","0.24703","0","0.04949679628","NaN","0.1416242679","0.05459785674","0.06942365023","0.02690029395","0","0.05343462698"
"-0.485","-90.121","9","6","2000","0.30424","0","0.0477370493","NaN","0.1316418307","0.05312117581","0.09494788465","0.03022006326","0","0.05635008"
"-0.572","-90.034","9","6","2000","0.30517","0","0.05154463256","NaN","0.1177856372","0.0505979386","0.08651863814","0.02879667349","0","0.05576122047"
"-0.672","-89.926","9","6","2000","0.22672","0","0.05283545302","NaN","0.118958266","0.04539819907","0.04919015442","0.02458493023","0","0.06192026791"
"-0.748","-89.843","9","6","2000","0.20903","0","0.04920439814","NaN","0.1008916912","0.04242557023","0.03772545488","0.02021775628","0","0.05517984"
"-0.755","-89.838","9","6","2000","0.20035","0","0.04379930791","NaN","0.1002886995","0.04342738605","0.02815193302","0.02433289674","0","0.04812620651"
"-0.794","-89.794","9","6","2000","0.24324","0","0.05625408","NaN","0.1137465153","0.05080324465","0.03378659721","0.02448980093","0","0.05883476093"
"-0.875","-89.699","9","6","2000","0.69141","0","0.06796844651","NaN","0.1439660428","0.06373379721","0.05013535256","0.03983499907","0","0.05465608186"
"-0.969","-89.622","9","6","2000","0.19278","0","0.05482307721","NaN","0.1341183851","0.05947624186","0.04488906419","0.03683002047","0","0.04160510512"
"-0.989","-89.517","9","6","2000","0.26747","0","0.05371481302","NaN","0.1392520186","0.05722274233","0.04932665302","0.03752773953","0","0.03800845395"
"-1.035","-89.411","9","6","2000","0.26307","0","0.0537416707","NaN","0.1548081488","0.06117432558","0.0675044093","0.03817147535","0","0.04102055442"
"-1.103","-89.300","9","6","2000","0.45517","0","0.05230924027","NaN","0.2415566497","0.0682810953","0.1193742282","0.04987538255","0","0.03582259329"
"-1.167","-89.201","9","6","2000","0.41899","0","0.04901636842","NaN","0.2445690316","0.06813369474","0.1138307368","0.04806808421","0","0.03777202105"
"-1.222","-89.115","9","6","2000","0.49936","0","0.0486552","NaN","0.2692268658","0.07212486076","0.127705519","0.04217061266","0","0.03816036456"
"-1.272","-89.046","9","6","2000","0.59434","0","0.05537310734","NaN","0.287883887","0.08167105085","0.1359154802","0.06001080226","0","0.04763751412"
